layout_name,structure,grid_system,sidebar_width,content_max_width,responsive_behavior,use_case,complexity,example_sites,accessibility_notes
Dashboard Classic,sidebar + header + main content area,12-column CSS Grid,240px collapsed 64px,1280px,Sidebar collapses to icons at md then overlay at sm,Admin panels and SaaS dashboards,high,Stripe Dashboard Linear Notion,Sidebar navigation as nav landmark; main content as main landmark; skip-to-content link
Holy Grail,header + left sidebar + main + right sidebar + footer,CSS Grid with named areas,200px each side,960px,Sidebars stack below main at md then hide at sm,Content sites with navigation and ads,medium,Medium Wikipedia,Each section uses appropriate landmark roles; reading order matches visual order
Marketing Hero,full-width hero + alternating content sections + CTA + footer,Container with max-width,none,1200px,Hero image scales; sections stack vertically at sm,Landing pages and product marketing,low,Stripe.com Linear.app,Hero image needs alt text; CTA buttons prominent and descriptive; heading hierarchy
Blog Editorial,header + narrow content column + optional sidebar,Single column centered,280px optional,720px,Sidebar moves below content at md,Blog posts articles documentation,low,Medium Substack Dev.to,Article tag for content; proper heading hierarchy h1-h3; readable line length 60-75 chars
E-commerce Grid,header + filters sidebar + product grid + pagination,CSS Grid auto-fill minmax,260px collapsible,1400px,Filter becomes top sheet at md; grid 2-col at sm 1-col at xs,Product listing and catalog pages,medium,Amazon Shopify stores,Filter announces applied count; product cards have descriptive alt; pagination keyboard accessible
Split Screen,50/50 horizontal split,2-column CSS Grid,50% each,none,Stacks vertically at md; primary content first,Login pages comparisons feature showcases,low,Slack signup Notion login,Content order logical when stacked; both halves independently scrollable if needed
Masonry,header + masonry grid content,CSS columns or Masonry.js,none,1400px,Column count reduces: 4 at xl 3 at lg 2 at md 1 at sm,Image galleries portfolios social feeds,medium,Pinterest Unsplash Dribbble,Images need alt text; lazy loading for performance; announce new items loaded
Fixed Sidebar,fixed left nav + scrollable main area,Flexbox main with scroll,280px,1100px,Sidebar becomes bottom tab bar at sm,Documentation wikis settings panels,medium,Docs sites GitBook Notion wiki,Sidebar nav landmark with aria-label; scroll position preserved on navigation
Kanban Board,header + horizontal scrollable columns,Flexbox row overflow-x,280px per column,none,Horizontal scroll with snap; single column view at sm,Project management task boards,high,Trello Jira board Linear,Columns as lists with headings; drag-drop has keyboard alternative; announce card moves
Wizard Multi-step,header + step indicator + form content + actions,Single centered column,none,640px,Step indicator becomes compact at sm; full-width inputs,Onboarding checkout multi-step forms,medium,Typeform checkout flows,Current step announced; progress communicated; back button always available
Infinite Scroll Feed,header + single column feed + floating actions,Single column centered,none,680px,Already mobile-first; wider gutters at lg,Social feeds news timelines activity logs,medium,Twitter LinkedIn Instagram,New content announced to screen readers; focus management on load; back-to-top button
App Shell,top bar + bottom nav + main content + FAB,Mobile-first flexbox,none,100%,Bottom nav stays; top bar simplifies at sm; FAB repositions,Mobile-first PWAs and native-feel web apps,medium,YouTube Gmail mobile Twitter,Bottom nav max 5 items; FAB has aria-label; main content scrolls independently
Data Table Full,header + toolbar + full-width table + pagination,Full viewport width,none,100%,Horizontal scroll for table; toolbar wraps at md,Analytics reporting data management,high,Google Analytics Airtable,Table uses proper th scope; sortable columns announced; responsive alternatives for mobile
Magazine,header + featured hero + multi-column articles + sidebar,CSS Grid mixed columns,320px,1320px,Three columns at xl two at lg single at md,News magazines editorial sites,high,NYTimes The Verge,Article regions with headings; image captions as figcaption; skip navigation available
Centered Minimal,centered content block with max-width,Single column centered,none,520px,Minimal changes just padding adjusts,Coming soon pages focused forms status pages,low,Stripe checkout error pages,Clear focus indicators; single primary action; sufficient color contrast
