palette_name,colors,max_categories,colorblind_safe,wcag_contrast,background,use_case,sequential_or_categorical
accessible_categorical,"#2563EB, #DC2626, #059669, #D97706, #7C3AED, #DB2777, #0891B2, #4F46E5",8,Sim — testada para deuteranopia e protanopia e tritanopia,AAA (7:1+) contra branco para todas as cores,#FFFFFF ou #F8FAFC,Categorias distintas em gráficos com até 8 séries; uso geral para dashboards e relatórios,Categorical
blue_sequential,"#EFF6FF, #BFDBFE, #93C5FD, #60A5FA, #3B82F6, #2563EB, #1D4ED8, #1E40AF, #1E3A8A",9,Sim — variação de luminância funciona para todos os tipos de daltonismo,AA (4.5:1+) para os 5 tons mais escuros contra branco,#FFFFFF,Valores sequenciais de baixo a alto; heatmaps; intensity maps; single-variable gradients,Sequential
warm_sequential,"#FFF7ED, #FFEDD5, #FED7AA, #FDBA74, #FB923C, #F97316, #EA580C, #C2410C, #9A3412",9,Parcial — funciona para deuteranopia; pode confundir em protanopia severa; adicionar labels,AA para 5 tons mais escuros,#FFFFFF,Dados de calor; engagement; intensidade; urgência; valores positivos em contexto financeiro,Sequential
divergent_blue_red,"#1E40AF, #2563EB, #60A5FA, #BFDBFE, #F5F5F5, #FECACA, #F87171, #DC2626, #991B1B",9,Parcial — substituir vermelho por laranja (#EA580C) para versão colorblind-safe,AA nos extremos contra centro neutro,#FFFFFF ou #F5F5F5,Dados com ponto central neutro; positivo vs negativo; above/below average; sentimento; desvio da média,Sequential (divergente)
earth_tones,"#78350F, #92400E, #A16207, #4D7C0F, #166534, #155E75, #1E3A5F, #581C87",8,Sim — hues bem separados com luminância variada; distinguíveis em todos os tipos de daltonismo,AA contra branco para todas,#FFFFFF ou #FFFBEB,Dados ambientais; sustentabilidade; agricultura; geo-data; relatórios ESG; marcas naturais,Categorical
pastel_light,"#BFDBFE, #BBF7D0, #FDE68A, #FECACA, #DDD6FE, #FBCFE8, #A5F3FC, #FED7AA",8,Não — contraste insuficiente entre cores; usar apenas com labels diretos e nunca como indicador solo,Falha contra branco (AA não atinge); usar com label de texto obrigatório ou sobre fundo escuro,#1E293B (fundo escuro) ou com labels sobre cada elemento,Visualizações decorativas; backgrounds de cards; infográficos com labels diretos; mood boards,Categorical
high_contrast,"#000000, #2563EB, #DC2626, #059669, #D97706, #7C3AED",6,Sim — alto contraste e hues maximamente separados,AAA (7:1+) todas contra branco,#FFFFFF,Acessibilidade máxima; impressão P&B com patterns; governo; saúde; educação; dashboards regulatórios,Categorical
brand_neutral,"#0F172A, #334155, #64748B, #94A3B8, #CBD5E1, #E2E8F0, #F1F5F9",7,Sim — escala de cinza funciona universalmente; luminância é o diferenciador,AAA para 4 tons mais escuros,#FFFFFF,Quando cor do gráfico não deve competir com brand colors; backgrounds; dados secundários; supporting charts,Sequential
green_status,"#064E3B, #047857, #059669, #10B981, #34D399, #6EE7B7, #A7F3D0, #D1FAE5, #ECFDF5",9,Parcial — funciona para protanopia; pode confundir com escala de cinza em deuteranopia severa; usar com labels,AA para 5 tons mais escuros,#FFFFFF,Dados de saúde; progresso; sucesso; crescimento; indicadores positivos; métricas de performance,Sequential
sunset_gradient,"#7C2D12, #C2410C, #EA580C, #F97316, #FB923C, #FBBF24, #FDE047",7,Parcial — funciona para tritanopia; adicionar labels para deuteranopia,AA para 4 tons mais escuros,#FFFFFF ou #1E293B,Dados de intensidade com conotação de energia; performance; engagement; temperatura; urgência crescente,Sequential
