style,grid_size,stroke_width,corner_radius,optical_corrections,color_rules,size_variants,export_formats,naming_convention,accessibility
outline,24x24 com 2px padding (20x20 live area),1.5px consistente em todos os ícones,2px padrão; 0px para ângulos intencionalmente agudos,Círculos 0.5px maiores que quadrados equivalentes; triângulos ajustados para parecer centrados; linhas horizontais 0.5px mais finas que verticais,Monocromático (currentColor); cor herdada do parent; sem preenchimento,"16, 20, 24, 32, 48px; redesenhar (não escalar) para 16px","SVG (otimizado com SVGO), PNG 1x/2x/3x, React/Vue components",icon-{category}-{name} (ex: icon-nav-home; icon-action-edit),aria-label obrigatório; título descritivo; role=img; não usar cor como único indicador
filled,24x24 com 2px padding (20x20 live area),N/A — ícones são preenchidos; contorno externo segue grid,2px padrão nos cantos externos; cantos internos podem ser sharp para detalhes,Formas preenchidas 1px menores que outline equivalentes para peso visual similar; ajuste de density óptica,Cor sólida única; variação de opacidade para estados (hover 80%; disabled 40%); cor accent para badges,"16, 20, 24, 32, 48px; versão simplificada para 16px","SVG, PNG 1x/2x/3x, icon font WOFF2, React components",icon-{category}-{name}-filled (ex: icon-nav-home-filled),Mesmo que outline; contraste mínimo 3:1 contra fundo; não depender apenas de filled vs outline para significado
duotone,24x24 com 2px padding (20x20 live area),1.5px para elementos de contorno; preenchimento com opacidade,2px padrão,Camada de fundo com 20% opacidade; camada de frente com 100%; equilíbrio visual entre camadas,Cor primária 100% + mesma cor a 20% opacidade; ou cor primária + cor secundária da paleta,"20, 24, 32, 48px; NÃO usar duotone abaixo de 20px","SVG (com classes para cada camada), React components com props de cor",icon-{category}-{name}-duotone,Contraste de cada camada verificado independentemente; label deve descrever a ação não o visual
thin,24x24 com 2px padding (20x20 live area),1px consistente; pode usar 0.75px para detalhes secundários,1.5px suave,Thin icons precisam de mais espaço entre linhas (2px mínimo); junções simplificadas; evitar linhas paralelas muito próximas,Monocromático; funciona melhor em fundos claros; evitar em fundos escuros sem aumentar peso,"20, 24, 32px; NÃO usar thin abaixo de 20px; considerar switch para outline em 16px","SVG, PNG 2x/3x (1x pode perder nitidez)",icon-{category}-{name}-thin,Cuidado com anti-aliasing em telas de baixa resolução; testar em 1x; fornecer fallback outline
bold,24x24 com 2px padding (20x20 live area),2.5px a 3px; cantos arredondados enfatizados,3px arredondado; visual friendly e approachable,Espaços negativos maiores para compensar traço grosso (3px mínimo entre linhas); simplificar detalhes; menos anchor points,Monocromático; excelente contraste; ideal para CTAs e elementos de destaque; funciona em fundos escuros e claros,"16, 20, 24, 32, 48px; escala bem em todos os tamanhos","SVG, PNG 1x/2x/3x, icon font",icon-{category}-{name}-bold,Alto contraste natural; excelente acessibilidade; preferido para interfaces acessíveis
pixel-perfect,Múltiplos de 8 (16x16; 24x24; 32x32),1px ou 2px alinhado ao grid de pixels; sem sub-pixels,0px ou 1px (valores inteiros apenas),Cada ponto alinhado exatamente ao grid de pixels; sem anti-aliasing; sem rotações fracionárias; snapping obrigatório,Monocromático ideal; se colorido máximo 2 cores; cores sólidas sem gradiente,"16, 24, 32px; cada tamanho desenhado manualmente no grid","SVG (com pixel grid), PNG 1x, ICO (para favicons)",icon-{category}-{name}-{size}px,Clareza máxima em telas de baixa resolução; cada pixel conta; ideal para UI systems
animated,24x24 base; pode expandir para 32x32 durante animação,Consistente com o estilo base (outline/filled); manter durante animação,Consistente com estilo base; transições suaves entre estados,Ponto de rotação centrado opticamente (não geometricamente); easing natural; sem jumpiness,"Cores podem transicionar entre estados; usar tokens de animação; respeitar prefers-reduced-motion","24, 32px para animação; versão estática como fallback","Lottie JSON (preferido), APNG, GIF (fallback), CSS sprite",icon-{category}-{name}-animated; states: default/hover/active/loading,Fornecer fallback estático para prefers-reduced-motion; descrição da ação animada em aria-label
flat,24x24 com 2px padding,N/A — sem contorno visível; formas sólidas puras,2px padrão; consistente com proporções do grid,Peso visual equalizado entre ícones; usar espaço negativo para detalhes; contraste entre elementos da mesma cor,1 cor por ícone (variações de um hue com shade/tint); pode usar branco para negative space,"16, 20, 24, 32, 48px; simplificar para 16px","SVG, PNG, React components",icon-{category}-{name}-flat,Contraste entre foreground e background mínimo 3:1; testar em temas claro e escuro
isometric,32x32 base (precisa de mais espaço para perspectiva),1.5px para contornos; preenchimento com faces visíveis,0px — ângulos definidos pela perspectiva isométrica (30 graus),Perspectiva isométrica consistente (30 graus); todas as faces com mesmo ângulo; sombras opcionais a 20% opacidade,"3 tons da mesma cor para 3 faces (100%, 80%, 60%); ou cores da paleta com variação de brilho","24, 32, 48, 64px; NÃO usar abaixo de 24px","SVG, PNG 2x/3x",icon-{category}-{name}-iso,Mais decorativos que funcionais; não usar para UI navegacional; label texto obrigatório; evitar em contextos de ação rápida
hand-drawn,24x24 referência; linhas podem sair levemente do grid,1.5-2.5px variável (simulando pressão de caneta); irregularidades intencionais,Variável — cantos não uniformes propositalmente,Manter consistência no nível de irregularidade; não exagerar no tremor; ponto de equilíbrio entre orgânico e legível,Monocromático preferido; pode usar 1 cor accent; estilo combina com marcas friendly e artesanais,"20, 24, 32, 48px; manter caráter em todos os tamanhos","SVG (paths com curves), PNG, Lottie (para draw-on animation)",icon-{category}-{name}-sketch,Irregularidade não deve prejudicar reconhecimento; testar compreensão com 5+ pessoas; label obrigatório
