principle,description,impact_on_conversion,implementation_tips,common_mistakes,testing_approach
single_clear_cta,"Cada página deve ter um objetivo primário claro. Um CTA principal que aparece múltiplas vezes, com ação secundária sutil.","Aumento de 20-35% — foco reduz paradoxo da escolha; múltiplos CTAs competindo reduz conversão em 25%","CTA primário com cor de destaque (contraste máximo); repetir 3-4 vezes na página (hero, mid, final); CTA secundário em ghost button ou link text; action verb no texto do botão","Múltiplos CTAs competindo (Sign Up + Book Demo + Download + Contact); CTA que não se destaca do fundo; texto genérico ('Click Here'); CTA abaixo do fold sem repetição acima","Teste A/B de texto do CTA (Start Free Trial vs Get Started vs Try Free); cor do botão; posição; quantidade de repetições; com vs sem CTA secundário"
above_fold_value,"O visitante deve entender o que o produto faz e por que importa em menos de 5 segundos, sem scroll.","Aumento de 15-25% — 57% do tempo de visualização acontece above the fold; bounce rate cai 30% com value prop clara","Headline com benefício (não feature); subheadline que explica como; visual que mostra o produto em uso; prova social mínima (logo bar ou número); CTA visível","Headline sobre a empresa ao invés do benefício para o usuário; jargão técnico; imagem stock genérica; CTA abaixo do fold; animação que atrasa renderização do conteúdo","Headline A vs B (benefício vs feature); com vs sem vídeo; diferentes hero images; com vs sem social proof no hero; posição do CTA"
social_proof_proximity,"Colocar prova social estrategicamente perto dos pontos de decisão (CTA, pricing, formulários).","Aumento de 10-20% — social proof no momento da decisão reduz ansiedade; testimonial perto de pricing aumenta upgrade rate","Micro-testimonial abaixo do CTA hero; logo bar após hero; testimonials detalhados antes de pricing; ratings perto de formulários; caso de sucesso perto de features","Social proof isolada em uma seção que ninguém vê; testimonials fake; números inflados; social proof sem contexto; reviews sem foto ou nome real","Posição da social proof (antes vs depois de pricing); tipo (logos vs testimonials vs números); quantidade; com vs sem foto; rating score vs texto"
speed_and_performance,"Core Web Vitals impactam diretamente conversão. Cada 100ms de atraso reduz conversão em 7%.","Aumento de 15-25% — páginas que carregam em 1s convertem 3x mais que páginas de 5s; Google penaliza LCP > 2.5s no ranking","LCP < 2.5s; FID/INP < 200ms; CLS < 0.1; lazy load below-fold images; preload critical assets; compress images (WebP/AVIF); minimize JS; CDN; critical CSS inline","Imagens hero não otimizadas (5MB+); fontes web não preloaded; JavaScript blocking render; third-party scripts no head; vídeo autoplay pesado; sem CDN","Speed test antes/depois de cada mudança; comparar conversion rate por speed bracket; LCP impact on bounce rate; mobile vs desktop speed"
visual_hierarchy_flow,"O olhar deve ser guiado intencionalmente pela página: headline → visual → CTA → scroll. F-pattern ou Z-pattern.","Aumento de 10-15% — hierarquia clara reduz cognitive load em 40%; visitante encontra CTA 2x mais rápido","Tamanho de texto: headline (48-72px) > sub (20-24px) > body (16-18px) > caption (12-14px); cor de destaque no CTA; whitespace direciona atenção; contraste guia leitura","Tudo do mesmo tamanho; cores competindo pela atenção; CTA camuflado no layout; seções sem separação visual; informação importante em lugar inesperado","Heatmap tracking (Hotjar, Microsoft Clarity); scroll depth analysis; CTA click rate por posição; eye-tracking studies se budget permitir"
mobile_first_design,"60%+ do tráfego é mobile. Projetar mobile primeiro garante experiência fundamental; desktop é enhancement.","Aumento de 20-30% — 53% dos mobile users abandonam se página demora > 3s; mobile bounce rate é 20% maior que desktop","Touch targets mínimo 48x48px; CTA full-width em mobile; font-size mínimo 16px; evitar hover-only interactions; thumb-zone friendly; formulários simplificados; teste em dispositivos reais","Projetar desktop primeiro e 'adaptar' para mobile; botões pequenos; formulários com muitos campos; pop-ups que cobrem tela inteira; horizontal scroll; texto minúsculo","Conversion rate mobile vs desktop; bounce rate por device; form completion rate mobile; A/B test específico para mobile; speed test mobile"
friction_reduction,"Cada campo de formulário, step extra, ou decisão necessária reduz conversão. Minimize fricção ao máximo.","Aumento de 25-40% — cada campo extra no formulário reduz conversão em 11%; cada step extra no checkout reduz 10%","Formulário com mínimo de campos (email only para trial); progresso visual em multi-step; auto-fill habilitado; validação inline; error messages claras; sem CAPTCHA visível (use reCAPTCHA v3)","Formulário com 10+ campos; sem validação inline; error messages genéricas; required fields sem indicação; sem password visibility toggle; pedir dados desnecessários no momento","Número de campos (3 vs 5 vs 7); single-page vs multi-step form; com vs sem social login; campo de telefone obrigatório vs opcional; CAPTCHA tipo"
trust_signals,"Selos de segurança, certificações, garantias e políticas visíveis reduzem ansiedade de compra.","Aumento de 10-20% — trust badges perto do CTA aumentam conversão em 42% em e-commerce; SSL selo visível reduz abandono de carrinho","SSL badge; payment method logos; money-back guarantee badge; privacy policy link; trust pilot/G2 rating; segurança de dados mencionada; certificações do setor","Trust signals escondidos no footer; selos falsos; certificações expiradas; sem política de privacidade; HTTPS sem badge visível; ausência total de trust signals","Posição dos trust badges (perto do CTA vs no footer); tipo de badge; com vs sem garantia; quantidade de selos; trust score externo vs interno"
urgency_scarcity,"Urgência genuína e escarcidade real motivam ação. NUNCA fake — detectar manipulação destrói confiança.","Aumento de 10-25% quando genuíno — contagem regressiva real pode aumentar 30%; fake scarcity quando descoberta reduz confiança em 90%","Oferta por tempo limitado REAL; contador de vagas restantes REAL; early-bird pricing com data; seasonal offers; limited beta access; deadline de trial","Countdown que reseta ao recarregar; 'Only 2 left' que nunca muda; urgência fake em SaaS (produto digital não acaba); excesso de urgência em todo lugar; manipulação óbvia","Com vs sem countdown; tipo de urgência (tempo vs quantidade); posição (hero vs pricing vs CTA); duração da oferta; urgência sutil vs explícita"
copywriting_clarity,"Copy deve ser claro, conciso e focado em benefícios para o usuário. Sem jargão. Nível de leitura 6a série.","Aumento de 15-25% — copy claro reduz bounce em 25%; benefício-focused headlines convertem 28% mais que feature-focused","Benefício antes de feature; 'You/Your' language; verbos de ação; frases curtas (max 20 palavras); parágrafos de 2-3 linhas; bullet points para listas; headline que funciona isolada","Jargão técnico para público geral; frases longas e complexas; foco em features sem benefício; texto genérico; headline que não comunica valor; texto demais por seção","Headline A vs B; long copy vs short copy; feature-focused vs benefit-focused; formal vs casual tone; com vs sem números no headline; power words test"
